Node_num	Node_id	Node_type	Node_label
289	D00479	drug	0
290	D00480	drug	0
291	D00481	drug	0
292	D00482	drug	0
293	D00483	drug	0
294	D00484	drug	0
295	D00485	drug	0
296	D00487	drug	0
297	D00488	drug	0
298	D00490	drug	0
299	D00491	drug	0
300	D00492	drug	0
301	D00493	drug	0
302	D00494	drug	0
303	D00495	drug	0
304	D00497	drug	0
305	D00498	drug	0
306	D00499	drug	0
307	D00500	drug	0
308	D00502	drug	0
309	D00503	drug	0
310	D00505	drug	0
311	D00506	drug	0
312	D00507	drug	0
313	D00509	drug	0
314	D00510	drug	0
315	D00511	drug	0
316	D00512	drug	0
317	D00513	drug	0
318	D00514	drug	0
319	D00517	drug	0
320	D00518	drug	0
321	D00519	drug	0
322	D00520	drug	0
323	D00521	drug	0
324	D00522	drug	0
325	D00523	drug	0
326	D00524	drug	0
327	D00525	drug	0
328	D00528	drug	0
329	D00529	drug	0
330	D00530	drug	0
331	D00531	drug	0
332	D00532	drug	0
333	D00533	drug	0
334	D00534	drug	0
335	D00535	drug	0
336	D00536	drug	0
337	D00537	drug	0
338	D00538	drug	0
339	D00539	drug	0
340	D00540	drug	0
341	D00548	drug	0
342	D00549	drug	0
343	D00550	drug	0
344	D00551	drug	0
345	D00552	drug	0
346	D00553	drug	0
347	D00554	drug	0
348	D00555	drug	0
349	D00558	drug	0
350	D00559	drug	0
351	D00560	drug	0
352	D00561	drug	0
353	D00562	drug	0
354	D00563	drug	0
355	D00564	drug	0
356	D00565	drug	0
357	D00566	drug	0
358	D00567	drug	0
359	D00568	drug	0
360	D00570	drug	0
361	D00573	drug	0
362	D00574	drug	0
363	D00575	drug	0
364	D00576	drug	0
365	D00577	drug	0
366	D00578	drug	0
367	D00579	drug	0
368	D00580	drug	0
369	D00582	drug	0
370	D00584	drug	0
371	D00585	drug	0
372	D00586	drug	0
373	D00587	drug	0
374	D00588	drug	0
375	D00589	drug	0
376	D00590	drug	0
377	D00592	drug	0
378	D00593	drug	0
379	D00594	drug	0
380	D00595	drug	0
381	D00596	drug	0
382	D00597	drug	0
383	D00598	drug	0
384	D00599	drug	0
385	D00600	drug	0
386	D00601	drug	0
387	D00602	drug	0
388	D00603	drug	0
389	D00604	drug	0
390	D00605	drug	0
391	D00606	drug	0
392	D00607	drug	0
393	D00608	drug	0
394	D00609	drug	0
395	D00610	drug	0
396	D00611	drug	0
397	D00612	drug	0
398	D00613	drug	0
399	D00615	drug	0
400	D00616	drug	0
401	D00617	drug	0
402	D00618	drug	0
403	D00619	drug	0
404	D00620	drug	0
405	D00621	drug	0
406	D00622	drug	0
407	D00623	drug	0
408	D00624	drug	0
409	D00625	drug	0
410	D00626	drug	0
411	D00627	drug	0
412	D00628	drug	0
413	D00629	drug	0
414	D00631	drug	0
415	D00632	drug	0
416	D00633	drug	0
417	D00634	drug	0
418	D00635	drug	0
419	D00636	drug	0
420	D00637	drug	0
421	D00638	drug	0
422	D00639	drug	0
423	D00640	drug	0
424	D00642	drug	0
425	D00643	drug	0
426	D00644	drug	0
427	D00645	drug	0
428	D00646	drug	0
429	D00647	drug	0
430	D00648	drug	0
431	D00649	drug	0
432	D00650	drug	0
433	D00651	drug	0
434	D00652	drug	0
435	D00653	drug	0
436	D00654	drug	0
437	D00655	drug	0
438	D00656	drug	0
439	D00657	drug	0
440	D00658	drug	0
441	D00659	drug	0
442	D00661	drug	0
443	D00662	drug	0
444	D00663	drug	0
445	D00664	drug	0
446	D00665	drug	0
447	D00666	drug	0
448	D00667	drug	0
449	D00668	drug	0
450	D00669	drug	0
451	D00670	drug	0
452	D00671	drug	0
453	D00672	drug	0
454	D00673	drug	0
455	D00674	drug	0
456	D00675	drug	0
457	D00676	drug	0
458	D00677	drug	0
459	D00678	drug	0
460	D00679	drug	0
461	D00680	drug	0
462	D00681	drug	0
463	D00682	drug	0
464	D00683	drug	0
465	D00684	drug	0
466	D00685	drug	0
467	D00686	drug	0
468	D00687	drug	0
469	D00688	drug	0
470	D00689	drug	0
471	D00690	drug	0
472	D00691	drug	0
473	D00693	drug	0
474	D00694	drug	0
475	D00695	drug	0
476	D00696	drug	0
477	D00697	drug	0
478	D00698	drug	0
479	D00699	drug	0
480	D00700	drug	0
481	D00701	drug	0
482	D00702	drug	0
483	D00706	drug	0
484	D00707	drug	0
485	D00709	drug	0
486	D00710	drug	0
487	D00711	drug	0
488	D00712	drug	0
489	D00713	drug	0
490	D00714	drug	0
491	D00715	drug	0
492	D00716	drug	0
493	D00717	drug	0
494	D00718	drug	0
495	D00719	drug	0
496	D00720	drug	0
497	D00721	drug	0
498	D00722	drug	0
499	D00723	drug	0
500	D00724	drug	0
501	D00725	drug	0
502	D00726	drug	0
503	D00729	drug	0
504	D00730	drug	0
505	D00732	drug	0
506	D00733	drug	0
507	D00734	drug	0
508	D00737	drug	0
509	D00738	drug	0
510	D00739	drug	0
511	D00740	drug	0
512	D00741	drug	0
513	D00742	drug	0
514	D00743	drug	0
515	D00745	drug	0
516	D00746	drug	0
517	D00747	drug	0
518	D00748	drug	0
519	D00749	drug	0
520	D00751	drug	0
521	D00752	drug	0
522	D00753	drug	0
523	D00754	drug	0
524	D00756	drug	0
525	D00757	drug	0
526	D00758	drug	0
527	D00759	drug	0
528	D00760	drug	0
529	D00761	drug	0
530	D00762	drug	0
531	D00763	drug	0
532	D00764	drug	0
533	D00765	drug	0
534	D00766	drug	0
535	D00767	drug	0
536	D00769	drug	0
537	D00774	drug	0
538	D00775	drug	0
539	D00776	drug	0
540	D00777	drug	0
541	D00778	drug	0
542	D00779	drug	0
543	D00780	drug	0
544	D00781	drug	0
545	D00782	drug	0
546	D00783	drug	0
547	D00784	drug	0
548	D00785	drug	0
549	D00786	drug	0
550	D00787	drug	0
551	D00788	drug	0
552	D00789	drug	0
553	D00790	drug	0
554	D00791	drug	0
555	D00792	drug	0
556	D00793	drug	0
557	D00794	drug	0
558	D00795	drug	0
559	D00796	drug	0
560	D00797	drug	0
561	D00798	drug	0
562	D00799	drug	0
563	D00800	drug	0
564	D00804	drug	0
565	D00805	drug	0
566	D00807	drug	0
567	D00809	drug	0
568	D00810	drug	0
569	D00811	drug	0
570	D00812	drug	0
571	D00813	drug	0
572	D00814	drug	0
573	D00815	drug	0
574	D00816	drug	0
575	D00817	drug	0
576	D00818	drug	0
577	D00819	drug	0
578	D00820	drug	0
579	D00821	drug	0
580	D00822	drug	0
581	D00823	drug	0
582	D00824	drug	0
583	D00825	drug	0
584	D00826	drug	0
585	D00827	drug	0
586	D00829	drug	0
587	D00835	drug	0
588	D00836	drug	0
589	D00837	drug	0
590	D00838	drug	0
591	D00839	drug	0
592	D00840	drug	0
593	D00841	drug	0
594	D00842	drug	0
595	D00843	drug	0
596	D00844	drug	0
597	D00845	drug	0
598	D00847	drug	0
599	D00848	drug	0
600	D00849	drug	0
601	D00850	drug	0
602	D00851	drug	0
603	D00865	drug	0
604	D00866	drug	0
605	D00867	drug	0
606	D00868	drug	0
607	D00869	drug	0
608	D00870	drug	0
609	D00871	drug	0
610	D00872	drug	0
611	D00873	drug	0
612	D00874	drug	0
613	D00877	drug	0
614	D00878	drug	0
615	D00879	drug	0
616	D00880	drug	0
617	D00881	drug	0
618	D00882	drug	0
619	D00883	drug	0
620	D00885	drug	0
621	D00886	drug	0
622	D00887	drug	0
623	D00888	drug	0
624	D00889	drug	0
625	D00890	drug	0
626	D00891	drug	0
627	D00892	drug	0
628	D00893	drug	0
629	D00894	drug	0
630	D00895	drug	0
631	D00896	drug	0
632	D00897	drug	0
633	D00898	drug	0
634	D00899	drug	0
635	D00900	drug	0
636	D00901	drug	0
637	D00902	drug	0
638	D00903	drug	0
639	D00904	drug	0
640	D00905	drug	0
641	D00906	drug	0
642	D00907	drug	0
643	D00908	drug	0
644	D00909	drug	0
645	D00910	drug	0
646	D00911	drug	0
647	D00912	drug	0
648	D00913	drug	0
649	D00914	drug	0
650	D00915	drug	0
651	D00916	drug	0
652	D00917	drug	0
653	D00918	drug	0
654	D00919	drug	0
655	D00920	drug	0
656	D00921	drug	0
657	D00922	drug	0
658	D00923	drug	0
659	D00924	drug	0
660	D00925	drug	0
661	D00926	drug	0
662	D00927	drug	0
663	D00928	drug	0
664	D00929	drug	0
665	D00930	drug	0
666	D00939	drug	0
667	D00941	drug	0
668	D00942	drug	0
669	D00944	drug	0
670	D00945	drug	0
671	D00946	drug	0
672	D00948	drug	0
673	D00949	drug	0
674	D00950	drug	0
675	D00951	drug	0
676	D00952	drug	0
677	D00953	drug	0
678	D00954	drug	0
679	D00955	drug	0
680	D00956	drug	0
681	D00957	drug	0
682	D00958	drug	0
683	D00959	drug	0
684	D00960	drug	0
685	D00961	drug	0
686	D00962	drug	0
687	D00963	drug	0
688	D00964	drug	0
689	D00965	drug	0
690	D00966	drug	0
691	D00967	drug	0
692	D00968	drug	0
693	D00969	drug	0
694	D00970	drug	0
695	D00972	drug	0
696	D00973	drug	0
697	D00975	drug	0
698	D00976	drug	0
699	D00977	drug	0
700	D00978	drug	0
701	D00979	drug	0
702	D00980	drug	0
703	D00981	drug	0
704	D00982	drug	0
705	D00983	drug	0
706	D00984	drug	0
707	D00985	drug	0
708	D00986	drug	0
709	D00987	drug	0
710	D00988	drug	0
711	D00989	drug	0
712	D00990	drug	0
713	D00994	drug	0
714	D00995	drug	0
715	D00996	drug	0
716	D00997	drug	0
717	D00998	drug	0
718	D00999	drug	0
719	D01000	drug	0
720	D01001	drug	0
721	D01002	drug	0
722	D01003	drug	0
723	D01004	drug	0
724	D01005	drug	0
725	D01006	drug	0
726	D01007	drug	0
727	D01008	drug	0
728	D01009	drug	0
729	D01010	drug	0
730	D01011	drug	0
731	D01012	drug	0
